3627 Felicia :  rat .. lol
162135 Larraine *  entered the room.
162137 Jama :  i'm using a computer now as a bridge. no matter, what kind of Iptables i'll type - it ignores it. i set FORWARD to DROP. every single package, without any exception. but i can do what i want. Iptables won't touch any forwarded package. any ideas?
162143 Nathanael :  yeah is where is the diffculty
162146 Larraine :  What is the command to move a directory? mv -r?
162151 Larraine :  Or is there some other attribute?
162195 Ling *  entered the room.
162214 Larraine :  mvdir?
162224 Hermina :  Larraine: mv is used for files and dirs.
162245 Kali :  Hi!  Question if I may:  Using crontab, I want to run a particular URL.  Previously I used fetch but there
162249 Hermina :  Larraine: the trick is moving recursively.
162260 Erich *  left the room (quit: "Leaving").
162262 Gia :  Jama: try asking #iptables too
162264 Kali :  ...but there's no fetch on this box.  Is there another clean alternative?
162306 Larraine :  Hermina, the syntax being?
162313 Hildred *  entered the room.
162319 Ramona *  entered the room.
162321 Hildred *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
162324 Hermina :  Larraine: mv -R or -r.
162328 Larraine :  oh ok
162347 Larraine :  thx
162347 Katherine *  left the room (quit: "Leaving").
162347 Edison *  entered the room.
162350 Katherine *  entered the room.
162352 Ela *  left the room (quit: Read error: 54 (Connection reset by Brandie)).
162359 Juliana *  entered the room.
162371 Ling *  left the room (quit: Remote closed the connection).
162371 Roseanne *  entered the room.
162372 Juliana :  how do i set folder quota?
162383 Ling *  entered the room.
162403 Priscilla *  entered the room.
162406 Edison *  left the room ("Quitte").
162424 Casey *  left the room (quit: Connection timed out).
162441 Ina *  left the room (quit: "Konversation terminated!").
162491 Lita *  entered the room.
162492 Larraine :  And to change a files name, you move it to the same direction but with another name?
162510 Margit *  left the room (quit: "This computer has gone to sleep").
162516 Lajuana :  s/direction/directory, but yes.
162549 Alina *  entered the room.
162562 Juliana :  how do i set folder quota?
162563 Lajuana :  And I note that you don't need -R or -r on mv. Unlike cp, recursion is not needed to move directories.
162573 Gale :  you don't need to use -R
162578 Larraine :  oops, typo
162587 Carlota *  entered the room.
162587 Gale :  nvm, someone beat me to it
162591 Kali :  (See above.)  Will wget work, can I supress its output, make it so it doesn't physically grab the file but just "visits" it?
162593 Lajuana :  Since, fundamentally, "move" and "rename" are the same option (at least across one filesystem)
162613 Lajuana :  Kali: as in, requests the file and then drops the connection?
162620 Lajuana :  Or as in downloads the file but doesn't save it?
162629 Kali :  Lajuana: yes
162635 Kali :  As in just visits the URL.
162636 Lajuana :  ...which one?
162638 Lajuana :  Er.
162651 Kali :  Requests it, I think.
162653 Francina *  entered the room.
162653 Kali :  Hmm.
162654 Lajuana :  "just visits the URL" is kind of nonsensical.
162658 Camellia *  left the room (quit: "a ide wpizdu").
162660 Kali :  As long as it fully processes.
162666 Chante *  entered the room.
162675 Lajuana :  Anyways.
162680 Lajuana :  -q will disable output.
162686 Lajuana :  --spider will disable downloading.
162693 Shelley *  entered the room.
162694 Katherine *  left the room (quit: "Leaving").
162703 Shelley :  Hiya ... im trying since yesterday on a script which should render text on a image and generate a new image from it ... but all the scripts (downloaded from internet ) wont work .... is there any library i need to install for it or what .... im on linux .... ???
162715 Gail *  left the room (quit: Connection timed out).
162715 Lajuana :  --delete-after will download the files but not save them.
162726 Larraine :  So if I want to move a file; mv movies/movie.avi good_movies/digital_movies/movie.avi
162729 Carlota *  left the room ("Leaving").
162730 Larraine :  thats how I do?
162736 Lajuana :  Larraine: yep.
162738 Kali :  Lajuana: Trying, thanks
162742 Kali :  :)
162753 Larraine :  kthx :)
162754 Jama *  left the room (quit: Connection reset by Brandie).
162755 Lajuana :  Kali: there's way more options, though; check the man page for a complete list.
162766 Kali :  yup, was looking.  thx!
162772 Sonya :  Has anyone here implemented a cpcommerce shopping cart? can you confirm duplication of an XSS vulnerability I have detailed on pastebin: http://pastebin.ca/509491
162806 Lajuana :  Larraine: across one filesystem, this is pretty much instantaneous (being just a metadata update); if you're moving it across filesystems it's actually a copy-delete so it'll take longer.
162828 Larraine :  and to rename, I can do: mv file.avi file2.avi?
162835 Lajuana :  Yep.
162840 Larraine :  Lajuana, yeah I figured
162862 Katelynn *  is now known as Katelynn
162863 Edison *  entered the room.
162871 Edison :  hello
162886 Katelynn *  is now known as Katelynn
162889 Franklin *  left the room (quit: Connection timed out).
162903 Edison :  I have a strange problem, I can't delete many files, even if I use root
162925 Edison :  the command ls -l gives me for a such file:  ?r---wx--T 24940 919584 29807 0 1974-04-27 16:55 libXpm.so.4
162929 Edison :  any idea?
162944 Sonya :  Edison: make sure theyre not immutable
162959 Edison :  yep I tried with chattr -i
162965 Edison :  but didn't change
162985 Chante *  left the room.
163013 Larraine :  And to remove a dir, I also do it recursively?
163015 Larraine :  rm -r dir
163015 Jacqui *  left the room (quit: Connection reset by Brandie).
163015 Kathleen *  entered the room.
163016 Larraine :  ?
163023 Jeanelle *  entered the room.
163024 Jacqui *  entered the room.
163036 Porsha *  entered the room.
163084 Yesenia :  Is there a way to pipe svnadmin dump output to tar for creation of a new tar file?
163117 Nichelle *  entered the room.
163130 Nichelle *  left the room.
163194 Dexter *  left the room (quit: Read error: 110 (Connection timed out)).
163215 Gia :  Yesenia: hm. try #svn too
163226 Son *  left the room (quit: Nick collision from services.).
163233 Jeanelle :  hello, one of my machines won't accept connections over ssh. Georgia client gets "Permission denied (publickey,gssapi-with-mic).", and the server logs "sshd: connection closed ip {ip address}". How can I debug this?
163236 Yesenia :  Gia: yeah, I'm covering my bases
163238 Franklin *  entered the room.
163241 Gia :  ok :)
163255 Ramon *  entered the room.
163260 Son *  entered the room.
163270 Leota :  Hi all
163279 Leota :  anyone know how to pipe output into a log???
163296 Stephane *  left the room (quit: ).
163297 Leota :  the output of a command into a log file instead of it being displayed on screen
163325 Gia :  generall command > log-file.txt
163363 Jeanelle :  this is what I get if I run 'ssh toserver -v -v -v" :  http://sial.org/pbot/25128
163386 Jeanelle :  can someone help me please?
163387 Leota :  Gia: thanks thats perfect
163420 Cristopher *  left the room (quit: "For the lack of a better quit message.").
163424 Aron *  entered the room.
163439 Aron :  Does anybody here know anything about airsnort?
163442 Luella :  Jeanelle, first try ssh server -vvv
163466 Luella :  Aron, like what?
163467 Jeanelle :  Luella:  I just did that (that's the same as -v -v -v"
163469 Leota :  Gia: it worked on lsmod, but not on ifup eth0,   ifup eth0 > log.txt, it still had konsole output
163472 Valentina *  entered the room.
163480 Kimbra :  Does anyone know of a calendar program that will connect to exchange calendar under linux?
163483 Phuong *  left the room (quit: "leaving").
163490 Luella :  Jeanelle, looks like a key problem on the server
163500 Jeanelle :  hm, how would I debug/fix it?
163501 Luella :  Jeanelle, can you get into the server as any other use?
163511 Marline *  left the room (quit: Remote closed the connection).
163514 Aron :  Well on their page, they say that it takes 50 - X Million packets to sniff the encryption key.
163530 Jeanelle :  Luella: no, but I can login from the console
163553 Aron :  how long will that take on a 4 Ghz with 1 gb ram, and a 1 TB hard-drive?
163576 Dexter *  entered the room.
163577 Gia :  Aron: none of those things matter, all that matters is how much data is coming over the network
163578 Hermina :  Aron: not very long.  a few minutes.
163583 Regine *  starts passing out free wheel groups
163587 Tran *  entered the room.
163594 Regine *  proclaims .. I did it! \o/
163599 Aron :  Hermina, ok...
163629 Aron :  the wlan is a 54mbps 802.11g...
163630 Margret *  left the room (quit: Read error: 110 (Connection timed out)).
163646 Drew *  entered the room.
163650 Aron :  how big is a typical single wlan packet?
163655 Yesenia :  ok, so my question now is.. is there a way to pipe the output of svnadmin dump (it dumps the contents to the console, so you'd normally use svnadmin dump blah > file.bak) to gzip?
163664 Gia :  if it's a very active network maybe a few hours, if it's not it could take days/weeks
163677 Jeanelle :  Yesenia: svnadmin dump blah | gzip > file.bak ?
163684 Gia :  Aron: ranges anywhere from a few bytes to 1.5KB or so
163695 Aron :  ok.
163710 Latoria *  entered the room.
163720 Jeanelle :  Luella: any tips how I'd figure out what's wrong / fix it?
163727 Aron :  so if the wlan is passphrase and not a typical key, how does airsnort handle that?
163735 Tran *  left the room (quit: Client Quit).
163735 Gia :  not sure myself
163744 Kory *  left the room (quit: Connection timed out).
163750 Cristopher *  entered the room.
163796 Veta *  entered the room.
163810 Aron :  svnadmin dump blah > file.bak && gzip file.bak
163854 Aron :  anybody know that about airsnort?
163858 Aron :  cause i really need to know.
163880 Hermina :  do you?
163882 Aron :  i'm gonna attempt a wlan airsnort on a windows vista machine.
163903 Yesenia :  Jeanelle: woot. thanks =) Forgot the >
163905 Edison *  left the room (quit: "Quitte").
163909 Aron :  for a research essay.
163916 Jeanelle :  Yesenia: yw
163954 Claudia *  entered the room.
163966 Claudia *  left the room.
163969 Aron :  eh eh?
163996 Bryon *  entered the room.
164015 Nicky *  is now known as Nicky
164030 Aron :  Bryon: real good dude... ircing as root is smrt!
164037 Drew :  does anyone know if GreylistD will eventually figure out that multiple IP addresses match to the same domain?
164038 Bryon *  left the room (quit: Client Quit).
164107 Buffy *  entered the room.
164109 Priscilla *  left the room ("Leaving").
164117 Roseanne *  left the room (quit: "Leaving").
164128 Franklin *  left the room (quit: "Leaving").
164133 Becki :  you know you can set your ident to "root" without ircing as root, right?  :P
164134 Aron :  Buffy: for christs sake, tell me about airsnort!
164141 Roseanne *  entered the room.
164143 Hassan *  entered the room.
164154 Larraine :  If I want to copy a movie to my current directory (from two directories above), I can do: cp ../../movies/movie.avi movie.avi
164155 Larraine :  right?
164169 Larraine :  two directories up I have a dir: movies
164171 Larraine :  in it I have movie
164174 Becki :  you could even do cp ../../movies/movie.avi ./
164177 Avery *  left the room (quit: Remote closed the connection).
164180 Larraine :  ok
164188 Becki :  since you don't need to specify the name if you want to keep the same name
164203 Marcela :  cp is evil, ln is good :)
164208 Aron :  Larraine: congratulations on learning how to use cp.
164216 Hermina :  Larraine: but do you miss the drag and drop windows has?
164246 Yesenia :  I have a fedora server that doesn't seem to have SCP installed. I tried yum install scp, to no avail. Anyone know how to get scp on fedora core?
164254 Jammie *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
164257 Hermina :  you can drag and drop in ROX filer, i think.
164266 Felicia *  left the room (quit: Excess Flood).
164275 Aron :  uh, how about downloading a tarball, unpacking it, and compiling Yesenia
164281 Felicia *  entered the room.
164283 Gia :  Yesenia: weird. installing ssh or openssh should get you that. try asking #fedora too
164299 Gia :  that's not the proper way to do it on fedora, he should use the package manager or else risk clobbering stuff
164301 Yesenia :  Aron: why would I do that when I have a package manager that most certainly has it?
164308 Kory *  entered the room.
164312 Aron :  Fedora's gay!
164317 Gia :  i'm not familiar with fedora myself but i assure you they've got a way to install that, jus thave to ask some fedora people
164318 Shayne *  entered the room.
164318 Krystle *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
164325 Gia :  no need for insults. come on
164330 Yesenia :  seriously
164331 Aron :  Yesenia: a self compiled binary will run better.
164337 Aron :  sorry Gia
164339 Yesenia :  Not like I chose the OS of the server
164340 Caron *  left the room (quit: Remote closed the connection).
164345 Gia :  Yesenia: don't mind him. jus tdon't listen to him
164346 Kenneth *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
164350 Larraine :  mv -r action movies/action
164352 Aron :  no no. i'm sorry.
164352 Yesenia :  he's ignored
164353 Larraine :  this is correct, right?
164367 Aron :  no Larraine
164369 Larraine :  moving the folder action in current dir to the foldier movies
164372 Larraine :  :/
164386 Aron :  mv action movies
164390 Lona :  0.,o
164397 Larraine :  ah ok, you dont specify name in destination?
164405 Larraine :  for dirs?
164406 Jammie *  entered the room.
164413 Hermina :  Larraine: it should be.  do you have a lot of movies?
164414 Aron :  no, it'll know what to call it from the original name.
164417 Lona :  Linux = Doctorate(Science("Rocket"));
164418 Lona :  0.o
164436 Larraine :  Hermina, so you are saying my syntax is correct?
164449 Hermina :  Larraine: yes.  that's correct.
164480 Larraine :  I'm doing this beginners guide to Linux that we have to do in school.. thing is I'm using Linux myself.. and it only accepts certain syntax is it seems :P
164484 Larraine :  since you can write in a few ways
164506 Aron :  but if you want to move the movies within "action" just do: mkdir /movies/action && cd action && mv * ../movies/action
164510 Drew *  left the room ("Done").
164524 Hermina :  Larraine: you can cheat by using docs already published at tldp.org
164525 Franklin *  entered the room.
164529 Caron *  entered the room.
164542 Larraine :  Hermina, the problem is that all syntax is not supported
164550 Larraine :  it only accept my teachers exact syntax
164551 Hermina :  Larraine: though they are kind of advanced.
164558 Leota :  Anyone know how to send the output of a program into tty2?
164563 Larraine :  which is mega stupid
164572 Aron :  Larraine: as a pointer, when you're typing in the name of a file or a directory in the shell, so long as you have the first or second or first few letters completed you can just hit tab and it will complete the rest.
164583 Larraine :  yah
164592 Larraine :  I know of tab completion before I came to unix/linux
164596 Larraine :  we're on IRC ;)
164598 Kimbra *  left the room (quit: Remote closed the connection).
164601 Larraine :  any decent client has it
164601 Larraine :  :p
164604 Arlinda *  left the room ("Coming Back").
164605 Arlinda *  entered the room.
164608 Edna *  entered the room.
164614 Aron :  Georgia Linux shell, has autocompletion that's better than IRC has.
164619 Larraine :  Aron, I have to write it by hand anyway..
164622 Larraine :  I'm not in the shell
164626 Larraine :  I'm writing hard links on paper
164636 Larraine :  or well.. im entering them in a HTML form
164640 Aron :  Ah, ok. Nice good ol pen scratch!
164641 Larraine :  so its not a real shell
164648 Aron :  use a blue pen!
164650 Larraine :  and each time I input something, it's wrong
164657 Larraine :  even if it works
164658 Edna *  left the room (quit: SendQ exceeded).
164658 Larraine :  its wrong
164667 Larraine :  since I have to write EXACTLY like my teacher did
164669 Larraine :  :P
164671 Lilian *  entered the room.
164732 Edna *  entered the room.
164745 Alyssa *  really needs to go to an airsnort support channel, but there is apparently not one.
164747 Hermina :  Larraine: why like the teacher?
164768 Edna *  left the room (quit: SendQ exceeded).
164768 Larraine :  because in his PHP script
164771 Larraine :  he hard coded those values
164783 Larraine :  then he compares the strings.. if $a==$b
164793 Larraine :  so it ditches correct syntax too
164806 Edna *  entered the room.
164812 Kimbra *  entered the room.
164815 Hermina :  Larraine: so it has to be in a format just like the teachers?
164822 Larraine :  yeah
164836 Leann :  findsmb shows only my samba server
164837 Leann :  why?
164842 Edna *  left the room (quit: SendQ exceeded).
164846 Leann :  i have 3 more computers on netwrk
164855 Aron :  !expertice airsnort
164857 Garnett *  entered the room.
164879 Edna *  entered the room.
164892 Justine *  entered the room.
164894 Justine :  does somebody here use torrent client via web interface  ?
164920 Clarinda *  entered the room.
164928 Larraine :  And then there are questions like: Is a computer good at manipulating images? I'd say no, since it requires a person to manipulate them, using the computer. My teacher says the computer is good at it. At the same time he says that it's not good at making spontaneous decisions (which it also can be in that case, since the user can be spontaneous)
165003 Anastasia :  I am setting up software RAID-1 with an extra /boot partition to enable a HD to boot by itself. Do I set this partition as bootable? What about root?
165037 Mackenzie *  left the room (quit: "gtg").
165055 Katherine *  entered the room.
165081 Larraine :  Hermina, could you walk me through this? I can paste what needs to be done and my suggestion on how to do it.. and we'll see if you have another?
165084 Larraine :  because it keeps failing me
165095 Lizbeth *  entered the room.
165131 Particia *  is now known as Particia
165182 Eva *  entered the room.
165207 Clarinda :  Hi, on this site there is a service which will show how many domains are located on the same webserver, http://www.domaintools.com/reverse-ip/, is it possible to do that with some command in Linux?
165226 Adele *  entered the room.
165230 Anastasia :  I am setting up software RAID-1 with an extra /boot partition to enable a HD to boot by itself. Do I set this partition as bootable? What about root?
165282 Allyn *  entered the room.
165288 Lilian *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
165295 Wm *  entered the room.
165298 Lilian *  entered the room.
165326 Wm :  Hello
165337 Allyn :  hi there
165337 Wm :  Is there a terminal icq client?
165348 Santo *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
165372 Wm :  I got centericq but it's getting old, and it looks like nobody is developing that
165380 Clarinda *  left the room (quit: "Leaving").
165402 Kimbra *  left the room (quit: "Leaving").
165409 Emilie *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
165418 Rory *  entered the room.
165437 Maxwell *  left the room (quit: "cya").
165446 Rory :  guys, how can i set an "alias" for my keyboard without using KDE? i want my "\" key to act as "s"
165455 Buster *  left the room (quit: Read error: 110 (Connection timed out)).
165467 Clara *  left the room (quit: "Konversation terminated!").
165504 Franklin *  left the room (quit: "Leaving").
165544 Olive *  entered the room.
165561 Angelic *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
165561 Lizeth *  left the room (quit: "Ex-Chat").
165606 Angelic *  entered the room.
165628 Olive *  left the room (quit: Remote closed the connection).
165669 Rachel :  Rory: see xmodmap
165670 Delorse *  entered the room.
165682 Delorse :  why are there two hash marks then
165698 Natosha *  left the room.
165698 Cristi *  left the room (quit: Connection timed out).
165722 Roseline *  entered the room.
165733 Roseline :  hello ppl
165740 Roseline :  any in house
165742 Roseline :  ;)
165761 Becki :  no
165767 Roseline :  lol
165781 Roseline :  i have a Poor usb network adapter performanc
165813 Roseline :  and only get a error driver/usb/net/rtl8150.c: failed tx_urb -22
165837 Becki :  how poor is the performance?
165837 Roseline :  any have idea how i can fix this?
165855 Roseline :  only can get 5k download
165872 Roseline :  and my conection is 2 mbits
165887 Mirta :  12 /hr inside sales ! Woot
165896 Becki :  what Quinton version are you using?
165907 Oma *  left the room (quit: "Leaving").
165917 Roseline :  2.6.17
165922 Roseline :  and is a gentoo box
165925 Becki :  hrmm, dunno then.
165931 Mirta :  No travel required!
165942 Mirta :  This so rox...!
165973 Roseline :  i use dhcp to up the net
165984 Curt *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
165998 Shu *  entered the room.
166015 Aron *  left the room (quit: "leaving").
166026 Soraya *  left the room (quit: "Have you mooed today?").
166035 Mitzie *  left the room (quit: Connection timed out).
166041 Mirella *  left the room (quit: Connection timed out).
166047 Shayna *  entered the room.
166050 Emmie *  left the room (quit: "Leaving").
166063 Shanika :  ls
166114 Nevada *  entered the room.
166114 Roseline :  Becki> any idea?
166153 Becki :  typically when someone says "dunno then", they have no idea.  :)
166166 Santo *  entered the room.
166252 Allyn *  left the room (quit: "Leaving").
166261 Katherine *  left the room (quit: "Leaving").
166273 Christine *  entered the room.
166293 Rory *  left the room (quit: "leaving").
166331 Shayna *  left the room (quit: Client Quit).
166359 Gricelda *  left the room (quit: Read error: 110 (Connection timed out)).
166379 Leann *  left the room (quit: "1,2,3 You Ain`t Never Seen A Motherfucker PIMP Like Me!").
166380 Kathleen :   how do i uploasd a podcast in linux?
166397 Becki :  you don't.  linux is not buzzword compliant.
166403 Myrtis :  lol
166414 Brianne *  left the room (quit: Remote closed the connection).
166422 Myrtis :  Kathleen there are several streaming media servers for linux. exactly what are you doing?
166428 Myrtis :  is there some service your using?
166447 Shu *  left the room (quit: Remote closed the connection).
166507 Trina *  left the room (quit: Read error: 110 (Connection timed out)).
166539 Roseanne *  left the room (quit: Remote closed the connection).
166542 Hallie :  lol Becki
166572 Lona *  is now known as Lona
166574 Cedrick *  entered the room.
166582 Sidney *  entered the room.
166607 Lizeth *  entered the room.
166624 Hoa :  isn't a podcast just an mp3 file?
166642 Lan *  left the room (quit: Client Quit).
166642 Katherine *  entered the room.
166656 Hallie :  i think so
166672 Hallie :  with a rss feed may be?
166677 Sharron *  entered the room.
166703 Allen *  entered the room.
166712 Krystle *  entered the room.
166726 Margarito *  entered the room.
166747 Mirta :  hi Myrtis
166755 Myrtis :  hello
166765 Franklin *  entered the room.
166784 Wm *  left the room (quit: Read error: 113 (No route to host)).
166786 Shayne *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
166794 Mirta :  Myrtis - I got my old job back with a pay increase - and it requires less than 15 mi/ travel / day
166804 Cecille *  entered the room.
166809 Myrtis :  nie
166811 Myrtis :  nice
166812 Roseline :  <Becki>: ahh lol sorry
166826 Hailey *  entered the room.
166831 Mirta :  Haven't worked there since the layoffs of 2002
166838 Avery *  entered the room.
166855 Franklin *  left the room (quit: Client Quit).
166876 Mirta :  I am so glad this is working out - because otherwise I need a car to run into the ground...
166904 Cecille :  is there a possibility to convert a video to wmv on linux?
166946 Trent *  entered the room.
166947 Trent *  left the room (quit: Client Quit).
166952 Leota :  Cecille: yes it is
166958 Kaylee :  Help support my cause lol   http://www.ventrilo.com/forums/showthread.php?t=19939
166960 Leota :  Cecille: use mencoder
166965 Cristi *  entered the room.
166986 Mirta :  I will announce the name of my new employer 6/2 after midnight... :)
167002 Rosanne *  entered the room.
167004 Leota :  Mirta: why?
167006 Krystle :  is there any way to call a javascript button from wget?
167014 Dagny *  entered the room.
167017 Mirta :  why not?
167021 Theodore *  entered the room.
167043 Randal :  they're all http requests anyway
167048 Leota :  Mirta: no i mean why are you waiting?
167059 Leota :  Mirta: just say it now
167072 Krystle :  Randal: when I hover over the link it says javascript(suchandsuch);
167078 Mirta :  Want to believe it is REAL.
167096 Randal :  Krystle: never had to do that but i suppose... oh wait
167102 Rachel :  Mirta: commendable caution.
167104 Laureen *  spams 4,400 people
167106 Randal :  it's clientside
167106 Laureen *  shudders
167108 Hoa :  I hate sending out bulk email
167113 Rachel :  Jikers!
167116 Randal :  Krystle: might be impossible
167116 Hoa :  even if the list is opt-in, it still makes me feel dirty
167134 Merna *  entered the room.
167137 Randal :  Krystle: with some trickery perhaps
167149 Carola *  entered the room.
167151 Shawnda *  left the room (quit: Client Quit).
167155 Mirta :  4400?
167161 Krystle :  Randal: hmm, i need to script that.
167163 Rachel :  Hoa: "mailman" lists  are double opt-in.  No reason to feel guiilty about those.
167183 Klara *  left the room (quit: "Leaving").
167192 Randal :  Krystle: and per page i'm afraid
167212 Krystle :  Randal: its really just a submit button
167217 Carola :  Rachel: your nick is gay
167237 Randal :  Krystle: k
167261 Randal :  Carola: no, it's you :)
167274 Dagny :  Carola: Well, the New Englanders are known to be pretty liberal :p
167275 Roseline *  left the room (quit: "Abandonando").
167297 Krystle :  Randal: i could fill out the form but the submit button is javascript
167332 Hoa :  Mirta: yeah.  Client's mailing list.
167341 Carola :  Randal: i'm not gay i'm asexual
167342 Randal :  Krystle: bugger. never done much ui stuff, web or otherwise so perhaps someone else could tell you offhand what to do
167344 ##linux :  mode (+o Hoa ) by ChanServ
167344 Dagny :  Carola: You're saying that saveTheWorld has great style, good personal hygiene, and had lots of fab woman friends :)
167351 ##linux :  mode (+b *!*@unaffiliated/Carola ) by Hoa
167351 Carola *  left the room (Kicked by Hoa (and stay out)).
167357 Antonietta :  Krystle: no, wget doesn't do javascript. you'd have to look at the script and find the actual target
167357 Dagny :  lol @ Hoa
167363 ##linux :  mode (+b *Carola*!*@* ) by Hoa
167369 Lan *  entered the room.
167374 ##linux :  mode (-o Hoa ) by Hoa
167469 Kaylee :   http://www.ventrilo.com/forums/showthread.php?t=19939    Will noone go and show your demand for vent on Linux?  if we get enough people, maybe they will do something about it
167498 Filomena *  left the room (quit: Read error: 110 (Connection timed out)).
167559 Lizeth *  left the room (quit: "I'm Elivized !").
167605 Riva *  entered the room.
167614 Margret *  entered the room.
167617 Dagny :  Any samba code-hackers about?
167636 Margarito *  left the room (quit: "leaving").
167673 Eleanore *  entered the room.
167691 Yu *  entered the room.
167704 Lesia *  entered the room.
167707 Asuncion *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
167821 Ladonna *  left the room (quit: No route to host).
167827 Melda *  left the room (quit: "uckfu.com elitist").
167830 Melda *  entered the room.
167839 Carol *  entered the room.
167881 Alise :  power's out here, we are on backup.
167903 Lizbeth *  left the room (quit: Read error: 110 (Connection timed out)).
167908 Alise *  left the room (quit: Remote closed the connection).
167925 Maxie *  left the room (quit: Read error: 110 (Connection timed out)).
167943 Tyra *  entered the room.
167945 Dagny :  looks like the backup's out too :O
167975 Kaylee :  lol
168018 Dagny :  I get that here too, but my backup works .... (cue Sod's law!)
168023 Lilian *  left the room (quit: Read error: 110 (Connection timed out)).
168029 Faustino *  entered the room.
168030 Layla *  left the room (quit: "?I-n-v-i-s-i-o-n? 2.0 Build 3515").
168051 Mistie *  entered the room.
168065 Dagny :  Where *are* all the decent hackers when you need them?
168078 Aron *  entered the room.
168099 Jude *  lives to serve
168109 Asia *  entered the room.
168110 Aron :  i know this is a linux channel, but the people in #windows dont seem to know what i'm asking. I need glib for windows, and i'm looking for an installer...
168110 Layla *  entered the room.
168111 Chauncey *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
168120 Kaylee :  http://qdb.us/89168
168125 Aron :  i've been googling.
168132 Donovan *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
168143 Leota *  left the room (quit: Remote closed the connection).
168144 Dagny :  Don't we all, dear? :P
168159 Melda :  lol
168161 Dagny :  Shadow! You bugger!
168167 Larraine :  I'm in a folder with two sub-folders: folder1, which I would like to put in folder2, this is how I do...
168167 Larraine :  mv -r folder1 folder2
168167 Catherine *  slaps Shadow
168168 Larraine :  what is wrong!?
168176 Myrtis :  Aron cygwin probably has it
168182 Aron :  cygwin?
168187 Myrtis :  yes..
168190 Aron :  a damn, i don't want to install cygwin though.
168197 Hoa :  mv folder1 folder2/ should work
168202 Melda :  so uhh... "install glib on windows" brings up some 912,000 hits on google
168204 Arlinda *  left the room ("Coming Back").
168204 Arlinda *  entered the room.
168205 Melda :  and none of those had it?
168222 Aron :  oy, my google was glib windows installer
168226 Aron :  that wasn't so good.
168237 Myrtis :  I would have googled windows glib
168257 Kaylee :  lol
168259 Riva *  left the room (quit: ).
168280 Dagny :  It'd be quicker to install Ubuntu :p
168298 Myrtis :  well if he needs glib in windows he's doing something specific probably
168356 Toya *  left the room (quit: "Leaving").
168430 Mistie :  anyone knows any small liveCD other than DSL and puppyLinux, under 60MB???
168432 Aron :  Myrtis: yeah, i'm trying to get airsnort working.
168436 Aron :  the windows port.
168436 Jesus :  glib on windows = GTK+ installer no ?
168442 Aron :  windows fucking sucks
168456 Mistie :  but rulez to play in!
168458 Andria :  Can anyone help with this TLS OpenVPN error?
168461 Kali :  Lajuana: this is what I wanted:  wget -O /dev/Demetra -q
168464 Kali :  Thanks again.
168482 Kali :  Next question:  How do I zip/tar a directory and its contents again?  To back it up, leaving all files in place.
168498 Juliana :  i have set up user quota at edquota
168501 Rosanne :  Mistie, RIP
168504 Cordelia *  entered the room.
168506 Juliana :  but i dont see it enforcing
168508 Juliana :  why?
168511 Mistie :  thks :-)
168527 Lajuana :  Kali: tar czvf filename.tar.gz directoryname/
168544 Cordelia :  How would I go about adding /usr/local/lib to the list of paths to search for a shared object?
168571 Larraine :  <Hoa> mv folder1 folder2/ should work
168571 Kali :  Lajuana: And what about copying everything in a particular dir to a new location?
168572 Larraine :  it didn't :p
168573 Kali :  :(
168577 Shirlee *  entered the room.
168600 Lajuana :  Cordelia: the LD_LIBRARY_PATH environment variable; see also the man page for ld.so
168624 Dagny :  Larraine: Are permissions correct to do it?
168625 Garnett *  left the room (quit: "Leaving").
168627 Hoa :  Larraine: what happened?
168634 Cordelia :  Ahh, alright. Thank you.
168635 Lajuana :  Kali: the dir and everything in it, or just everything in it?
168653 Stefan *  left the room (quit: Read error: 110 (Connection timed out)).
168654 Kali :  everything in it
168659 Larraine :  Dagny, this is a test my teacher wrote.. and I've been trying to pass it for the past 2 hours
168660 Larraine :  :P
168662 Kali :  e.g. moving from /subdomain to /domain
168670 Kali :  Lajuana: ^
168683 Lajuana :  -moving-, not copying?
168689 Eva *  left the room (quit: Read error: 110 (Connection timed out)).
168694 Harley *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
168699 Larraine :  ok
168703 Larraine :  now I'm back on the same question
168707 Dagny :  Larraine: Well Hoa's info should work unless there's already a directory called folder1 in folder2/
168708 Lajuana :  Larraine: so, what's the error it gives when you try?
168726 Larraine :  Lajuana, Georgia error I get is "You get 0 out of 1 point"
168730 Klara *  entered the room.
168733 Lajuana :  ...
168736 Larraine :  this aint in shell
168738 Hoa :  that's useful
168739 Larraine :  my teachers homepage
168740 Dagny :  LoL
168742 Hoa :  and, y'know, wrong
